Link,Name,Disease Name
http://babelnet.org/rdf/page/s00321984n,s00321984n,herpes gladiatorum
http://babelnet.org/rdf/page/s00331659n,s00331659n,Ladd's bands
http://babelnet.org/rdf/page/s00333447n,s00333447n,Potter's syndrome
http://babelnet.org/rdf/page/s00333921n,s00333921n,2q37 deletion syndrome
http://babelnet.org/rdf/page/s00343813n,s00343813n,non-celiac gluten sensitivity
http://babelnet.org/rdf/page/s00345112n,s00345112n,parapneumonic effusion
http://babelnet.org/rdf/page/s00354291n,s00354291n,aortoiliac occlusive disease
http://babelnet.org/rdf/page/s00360226n,s00360226n,autosplenectomy
http://babelnet.org/rdf/page/s00369057n,s00369057n,infantile Refsum disease
http://babelnet.org/rdf/page/s00369059n,s00369059n,neonatal adrenoleukodystrophy
http://babelnet.org/rdf/page/s00373395n,s00373395n,vermiphobia
http://babelnet.org/rdf/page/s00375739n,s00375739n,lipoatrophy
http://babelnet.org/rdf/page/s00376958n,s00376958n,flat wart
http://babelnet.org/rdf/page/s00376976n,s00376976n,ancylostomiasis
http://babelnet.org/rdf/page/s00378091n,s00378091n,green Tobacco Sickness
http://babelnet.org/rdf/page/s00379262n,s00379262n,selective mutism
http://babelnet.org/rdf/page/s00381680n,s00381680n,Bietti's crystalline dystrophy
http://babelnet.org/rdf/page/s00395230n,s00395230n,middle cerebral artery infarction
http://babelnet.org/rdf/page/s00397224n,s00397224n,persistent cloaca
http://babelnet.org/rdf/page/s00400723n,s00400723n,hyperandrogenism
http://babelnet.org/rdf/page/s00414664n,s00414664n,progressive myoclonus epilepsy
http://babelnet.org/rdf/page/s00422895n,s00422895n,junctional tachycardia
http://babelnet.org/rdf/page/s00424159n,s00424159n,Primrose syndrome
http://babelnet.org/rdf/page/s00427356n,s00427356n,scleromyositis
http://babelnet.org/rdf/page/s00431969n,s00431969n,glomerulosclerosis
http://babelnet.org/rdf/page/s00433623n,s00433623n,rotator cuff tear
http://babelnet.org/rdf/page/s00433790n,s00433790n,lymphocytic interstitial pneumonia
http://babelnet.org/rdf/page/s00434526n,s00434526n,erythema marginatum
http://babelnet.org/rdf/page/s00441188n,s00441188n,fibromatosis
http://babelnet.org/rdf/page/s00443527n,s00443527n,eye injury
http://babelnet.org/rdf/page/s00445659n,s00445659n,taijin kyofusho
http://babelnet.org/rdf/page/s00450065n,s00450065n,vitamin B12 deficiency
http://babelnet.org/rdf/page/s00454731n,s00454731n,glucose-galactose malabsorption
http://babelnet.org/rdf/page/s00454747n,s00454747n,hyperprolinemia
http://babelnet.org/rdf/page/s00454757n,s00454757n,infantile neuroaxonal dystrophy
http://babelnet.org/rdf/page/s00459273n,s00459273n,Pretzel syndrome
http://babelnet.org/rdf/page/s00461668n,s00461668n,polyembryoma
