,,Disease Name,
http://babelnet.org/rdf/page/s09263353n,s09263353n,,
http://babelnet.org/rdf/page/s15717581n,s15717581n,,
http://babelnet.org/rdf/page/s17966251n,s17966251n,,
http://babelnet.org/rdf/page/s22117512n,s22117512n,,
http://babelnet.org/rdf/page/s23750174n,s23750174n,,
http://babelnet.org/rdf/page/s11165174n,s11165174n,,
http://babelnet.org/rdf/page/s16136303n,s16136303n,,
http://babelnet.org/rdf/page/s16140146n,s16140146n,,
http://babelnet.org/rdf/page/s16145820n,s16145820n,,
http://babelnet.org/rdf/page/s16147053n,s16147053n,,
http://babelnet.org/rdf/page/s18131661n,s18131661n,,
http://babelnet.org/rdf/page/s18131675n,s18131675n,,
http://babelnet.org/rdf/page/s18132049n,s18132049n,,
http://babelnet.org/rdf/page/s18132081n,s18132081n,,
http://babelnet.org/rdf/page/s18132137n,s18132137n,,
http://babelnet.org/rdf/page/s18132152n,s18132152n,,
http://babelnet.org/rdf/page/s18133855n,s18133855n,,
http://babelnet.org/rdf/page/s18133987n,s18133987n,,
http://babelnet.org/rdf/page/s18134033n,s18134033n,,
http://babelnet.org/rdf/page/s08743107n,s08743107n,,
http://babelnet.org/rdf/page/s05584402n,s05584402n,,
http://babelnet.org/rdf/page/s06316577n,s06316577n,,
http://babelnet.org/rdf/page/s06310436n,s06310436n,,
http://babelnet.org/rdf/page/s05179996n,s05179996n,,
http://babelnet.org/rdf/page/s05139432n,s05139432n,,
http://babelnet.org/rdf/page/s18455243n,s18455243n,,
http://babelnet.org/rdf/page/s05136465n,s05136465n,,
http://babelnet.org/rdf/page/s19807751n,s19807751n,,
http://babelnet.org/rdf/page/s13861334n,s13861334n,,
http://babelnet.org/rdf/page/s17882775n,s17882775n,,
http://babelnet.org/rdf/page/s05767843n,s05767843n,,
http://babelnet.org/rdf/page/s08107880n,s08107880n,,
http://babelnet.org/rdf/page/s25907473n,s25907473n,,
http://babelnet.org/rdf/page/s09266221n,s09266221n,,
http://babelnet.org/rdf/page/s05768488n,s05768488n,,
http://babelnet.org/rdf/page/s24502053n,s24502053n,,
http://babelnet.org/rdf/page/s05142303n,s05142303n,,
http://babelnet.org/rdf/page/s05252681n,s05252681n,,
http://babelnet.org/rdf/page/s08119867n,s08119867n,,
http://babelnet.org/rdf/page/s08682558n,s08682558n,,
http://babelnet.org/rdf/page/s16113567n,s16113567n,,
http://babelnet.org/rdf/page/s16799212n,s16799212n,,
http://babelnet.org/rdf/page/s23511779n,s23511779n,,
http://babelnet.org/rdf/page/s24231302n,s24231302n,,
http://babelnet.org/rdf/page/s24424931n,s24424931n,,
http://babelnet.org/rdf/page/s24502053n,s24502053n,,
http://babelnet.org/rdf/page/s25461845n,s25461845n,,
http://babelnet.org/rdf/page/s25562016n,s25562016n,,
http://babelnet.org/rdf/page/s25675036n,s25675036n,,
http://babelnet.org/rdf/page/s25782970n,s25782970n,,
http://babelnet.org/rdf/page/s26644811n,s26644811n,,
http://babelnet.org/rdf/page/s27521366n,s27521366n,,
http://babelnet.org/rdf/page/s28360535n,s28360535n,,
http://babelnet.org/rdf/page/s06683289n,s06683289n,,
http://babelnet.org/rdf/page/s05254020n,s05254020n,,
